N,P,K,temperature,humidity,ph,rainfall,label
0.6428571428571428,0.2642857142857143,0.19,0.34588613517306543,0.7902668315256756,0.4662636371578488,0.6564577820612741,20
0.6071428571428571,0.37857142857142856,0.18000000000000002,0.37144489052164653,0.770632850772957,0.5494802634661211,0.7416745925400796,20
0.42857142857142855,0.35714285714285715,0.195,0.4068538975127376,0.7939766359872729,0.6742187657204011,0.8757103904101947,20
0.5285714285714286,0.2142857142857143,0.17500000000000002,0.5069013976025663,0.7687514436037337,0.5405078809463393,0.7999054664892735,20
0.5571428571428572,0.2642857142857143,0.185,0.32437759003690736,0.7856255161385323,0.6412913769420499,0.8712307343962911,20
0.4928571428571428,0.2285714285714286,0.185,0.4083916263333298,0.8062177449543491,0.5549787519923273,0.8293324448982635,20
0.4928571428571428,0.35714285714285715,0.165,0.3983711798293118,0.7976938172769268,0.3415144311123298,0.9021542316518835,20
0.6714285714285714,0.34285714285714286,0.17500000000000002,0.3286120109658345,0.8006646625084191,0.3442859023549094,0.7967086172840259,20
0.6357142857142857,0.35,0.165,0.4502234639412419,0.8081436804621209,0.49462312933422425,0.7552931093745895,20
0.4857142857142857,0.37857142857142856,0.165,0.4131527742551885,0.8022877900557605,0.44033471146007563,0.7221079889797883,20
0.65,0.34285714285714286,0.17500000000000002,0.5079383837837773,0.7834401915158342,0.2925842082150222,0.8780478245326272,20
0.6428571428571428,0.29285714285714287,0.185,0.4348174011233198,0.7838260526889486,0.6217529136650028,0.8258412639578887,20
0.5571428571428572,0.37857142857142856,0.195,0.5157880921411019,0.7772494951643334,0.24943158014966904,0.949259137235603,20
0.6642857142857143,0.36428571428571427,0.155,0.43585023434170245,0.7908982497215867,0.5411225849858909,0.5930186936723807,20
0.6714285714285714,0.32142857142857145,0.16,0.48322138031301853,0.7746481443629094,0.5354722089637529,0.6803538197107313,20
0.42857142857142855,0.30714285714285716,0.17,0.44351506426024667,0.7704066801900776,0.5501338383992136,0.7575927373411898,20
0.6071428571428571,0.2357142857142857,0.18000000000000002,0.3661839184730865,0.7994314536987555,0.4267735482119609,0.9213042496937237,20
0.65,0.2142857142857143,0.17,0.4295071123183578,0.7717823034149283,0.5390241097382393,0.6684055565882447,20
0.5499999999999999,0.2357142857142857,0.155,0.37416486768681867,0.7691473446915107,0.3808790149995738,0.7341282329996197,20
0.6285714285714286,0.2142857142857143,0.17500000000000002,0.42335260935587826,0.8087547924039359,0.36532754794907196,0.973912391952698,20
0.6357142857142857,0.2857142857142857,0.155,0.3586637590362036,0.7724423810842008,0.4568535698977121,0.5938095512598156,20
0.5428571428571428,0.25,0.19,0.4686331625050921,0.8032666059104807,0.24344338535976673,0.7586632702353184,20
